hour,t_outdoor
7369,5.888375
7370,5.888375
7371,5.025625
7372,5.025625
7373,5.025625
7374,4.466708333
7375,4.466708333
7376,4.466708333
7377,7.5665
7378,7.5665
7379,7.5665
7380,10.22566667
7381,10.22566667
7382,10.22566667
7383,9.328708333
7384,9.328708333
7385,9.328708333
7386,7.669166667
7387,7.669166667
7388,7.669166667
7389,6.683916667
7390,6.683916667
7391,6.683916667
7392,6.115875
7393,6.115875
7394,6.115875
7395,5.937
7396,5.937
7397,5.937
7398,5.938416667
7399,5.938416667
7400,5.938416667
7401,8.272833333
7402,8.272833333
7403,8.272833333
7404,10.45495833
7405,10.45495833
7406,10.45495833
7407,10.09983333
7408,10.09983333
7409,10.09983333
7410,9.086708333
7411,9.086708333
7412,9.086708333
7413,8.648625
7414,8.648625
7415,8.648625
7416,8.465541667
7417,8.465541667
7418,8.465541667
7419,8.414875
7420,8.414875
7421,8.414875
7422,8.487916667
7423,8.487916667
7424,8.487916667
7425,11.56895833
7426,11.56895833
7427,11.56895833
7428,14.36129167
7429,14.36129167
7430,14.36129167
7431,13.286375
7432,13.286375
7433,13.286375
7434,11.932
7435,11.932
7436,11.932
7437,11.36108333
7438,11.36108333
7439,11.36108333
7440,11.181875
7441,11.181875
7442,11.181875
7443,11.20079167
7444,11.20079167
7445,11.20079167
7446,11.176875
7447,11.176875
7448,11.176875
7449,13.29666667
7450,13.29666667
7451,13.29666667
7452,15.21383333
7453,15.21383333
7454,15.21383333
7455,14.547375
7456,14.547375
7457,14.547375
7458,13.76191667
7459,13.76191667
7460,13.76191667
7461,13.72183333
7462,13.72183333
7463,13.72183333
7464,13.702375
7465,13.702375
7466,13.702375
7467,13.03266667
7468,13.03266667
7469,13.03266667
7470,11.96866667
7471,11.96866667
7472,11.96866667
7473,12.1045
7474,12.1045
7475,12.1045
7476,12.47379167
7477,12.47379167
7478,12.47379167
7479,11.37295833
7480,11.37295833
7481,11.37295833
7482,9.866625
7483,9.866625
7484,9.866625
7485,8.718291667
7486,8.718291667
7487,8.718291667
7488,7.738625
7489,7.738625
7490,7.738625
7491,6.7585
7492,6.7585
7493,6.7585
7494,5.913708333
7495,5.913708333
7496,5.913708333
7497,8.952958333
7498,8.952958333
7499,8.952958333
7500,11.892625
7501,11.892625
7502,11.892625
7503,10.86879167
7504,10.86879167
7505,10.86879167
7506,9.290291667
7507,9.290291667
7508,9.290291667
7509,8.418875
7510,8.418875
7511,8.418875
7512,7.687
7513,7.687
7514,7.687
7515,6.987041667
7516,6.987041667
7517,6.987041667
7518,6.697666667
7519,6.697666667
7520,6.697666667
7521,8.94525
7522,8.94525
7523,8.94525
7524,10.48575
7525,10.48575
7526,10.48575
7527,9.585
7528,9.585
7529,9.585
7530,8.503333333
7531,8.503333333
7532,8.503333333
7533,7.725708333
7534,7.725708333
7535,7.725708333
7536,7.1645
7537,7.1645
7538,7.1645
7539,6.175125
7540,6.175125
7541,6.175125
7542,5.110125
7543,5.110125
7544,5.110125
7545,6.893083333
7546,6.893083333
7547,6.893083333
7548,9.269166667
7549,9.269166667
7550,9.269166667
7551,8.808541667
7552,8.808541667
7553,8.808541667
7554,8.006125
7555,8.006125
7556,8.006125
7557,7.983041667
7558,7.983041667
7559,7.983041667
7560,8.340291667
7561,8.340291667
7562,8.340291667
7563,8.912708333
7564,8.912708333
7565,8.912708333
7566,9.467083333
7567,9.467083333
7568,9.467083333
7569,12.11525
7570,12.11525
7571,12.11525
7572,14.44704167
7573,14.44704167
7574,14.44704167
7575,13.54741667
7576,13.54741667
7577,13.54741667
7578,12.60445833
7579,12.60445833
7580,12.60445833
7581,12.1325
7582,12.1325
7583,12.1325
7584,11.81241667
7585,11.81241667
7586,11.81241667
7587,11.50029167
7588,11.50029167
7589,11.50029167
7590,11.12375
7591,11.12375
7592,11.12375
7593,13.00079167
7594,13.00079167
7595,13.00079167
7596,14.653875
7597,14.653875
7598,14.653875
7599,13.14741667
7600,13.14741667
7601,13.14741667
7602,11.55275
7603,11.55275
7604,11.55275
7605,10.603375
7606,10.603375
7607,10.603375
7608,10.01329167
7609,10.01329167
7610,10.01329167
7611,9.796291667
7612,9.796291667
7613,9.796291667
7614,9.781375
7615,9.781375
7616,9.781375
7617,11.816625
7618,11.816625
7619,11.816625
7620,13.96779167
7621,13.96779167
7622,13.96779167
7623,12.88254167
7624,12.88254167
7625,12.88254167
7626,11.77854167
7627,11.77854167
7628,11.77854167
7629,11.173875
7630,11.173875
7631,11.173875
7632,10.856875
7633,10.856875
7634,10.856875
7635,10.61445833
7636,10.61445833
7637,10.61445833
7638,10.41858333
7639,10.41858333
7640,10.41858333
7641,11.55466667
7642,11.55466667
7643,11.55466667
7644,12.599375
7645,12.599375
